Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-96.700000,80.200000,-90.000000,bottom
"C1","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",12.250000,10.250000,180.000000,top
"C2","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",10.500000,32.000000,0.000000,top
"C3","10uF","CP_Radial_D5.0mm_P2.50mm",37.250000,41.250000,180.000000,top
"C4","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",34.750000,47.000000,90.000000,top
"C5","10uF","CP_Radial_D5.0mm_P2.50mm",21.200000,56.400000,-90.000000,top
"C6","10uF","CP_Radial_D5.0mm_P2.50mm",19.000000,46.750000,-90.000000,top
"C7","10uF","CP_Radial_D5.0mm_P2.50mm",6.800000,59.200000,0.000000,top
"C8","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",8.500000,76.000000,90.000000,top
"C9","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",85.000000,53.000000,180.000000,top
"C10","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",58.000000,53.000000,180.000000,top
"C11","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",77.500000,25.250000,0.000000,top
"C12","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",50.500000,25.250000,0.000000,top
"C13","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",75.000000,9.750000,0.000000,top
"C14","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",87.500000,25.250000,180.000000,top
"D1","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",6.000000,54.000000,0.000000,top
"D2","LED_Small_ALT","LED_D5.0mm",56.250000,3.750000,180.000000,top
"J1","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,71.700000,0.000000,top
"J2","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,79.700000,0.000000,top
"J3","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",54.000000,71.700000,0.000000,top
"J4","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",54.000000,79.700000,0.000000,top
"J5","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,87.700000,0.000000,top
"J6","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,95.700000,0.000000,top
"J7","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",54.000000,87.700000,0.000000,top
"J8","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",54.000000,95.700000,0.000000,top
"J9","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.500000,71.700000,0.000000,top
"J10","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.500000,79.700000,0.000000,top
"J11","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",73.500000,71.700000,0.000000,top
"J12","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",73.500000,79.700000,0.000000,top
"J13","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.500000,87.700000,0.000000,top
"J14","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.500000,95.700000,0.000000,top
"J15","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",73.500000,87.700000,0.000000,top
"J16","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",73.500000,95.700000,0.000000,top
"J17","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",62.500000,79.700000,0.000000,top
"J18","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",62.500000,71.700000,0.000000,top
"J19","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",23.500000,79.700000,0.000000,top
"J20","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",23.500000,71.700000,0.000000,top
"J21","Conn_01x03","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",21.250000,3.250000,180.000000,top
"J22","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",62.500000,95.700000,0.000000,top
"J23","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",62.500000,87.700000,0.000000,top
"J24","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",23.500000,95.700000,0.000000,top
"J25","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",23.500000,87.700000,0.000000,top
"J26","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",82.000000,79.700000,0.000000,top
"J27","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",82.000000,71.700000,0.000000,top
"J28","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",43.000000,79.700000,0.000000,top
"J29","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",43.000000,71.700000,0.000000,top
"J30","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",30.000000,4.000000,-90.000000,top
"J31","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",82.000000,95.700000,0.000000,top
"J32","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",82.000000,87.700000,0.000000,top
"J33","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",43.000000,95.700000,0.000000,top
"J34","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",43.000000,87.700000,0.000000,top
"J35","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",45.250000,3.250000,180.000000,top
"J36","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",11.250000,45.500000,90.000000,top
"Q1","2N7000","TO-92_Inline",23.500000,18.500000,0.000000,top
"Q2","2N7000","TO-92_Inline",17.000000,18.500000,0.000000,top
"R1","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",25.600000,26.400000,180.000000,top
"R2","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.500000,33.000000,0.000000,top
"R3","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",25.600000,23.000000,180.000000,top
"R4","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.500000,29.700000,0.000000,top
"R5","120r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",26.750000,8.500000,0.000000,top
"R6","270r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",60.250000,10.000000,180.000000,top
"R7","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",97.750000,21.750000,-90.000000,top
"R8","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",94.250000,21.750000,-90.000000,top
"R9","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",90.750000,11.500000,90.000000,top
"U1","WeMos_D1_mini","WEMOS_D1_mini_light",26.500000,36.500000,-90.000000,top
"U2","ICL7660","DIP-8_W7.62mm_LongPads",23.750000,49.500000,0.000000,top
"U3","MAX3485","DIP-8_W7.62mm_LongPads",5.000000,28.500000,0.000000,top
"U4","LM7805_TO220","TO-220-3_Vertical",5.000000,73.500000,90.000000,top
"U5","MT8816","PLCC-44_THT-Socket",82.500000,45.500000,0.000000,top
"U6","MT8816","PLCC-44_THT-Socket",55.500000,45.500000,0.000000,top
"U7","MCP23017_SP","DIP-28_W7.62mm",54.500000,12.800000,90.000000,top
